user,trip,overspeed
08ubFCItgmXZY4nkhvl5KpCSKR92,1602520366156 ,34
08ubFCItgmXZY4nkhvl5KpCSKR92,1602569486624 ,41
08ubFCItgmXZY4nkhvl5KpCSKR92,1602606246051 ,42
0WVbkZqJA0gKSdTFxvTHBoLIov02,1597886296281 ,20
0WVbkZqJA0gKSdTFxvTHBoLIov02,1597890726144 ,2
0WVbkZqJA0gKSdTFxvTHBoLIov02,1597916812016 ,0
0WVbkZqJA0gKSdTFxvTHBoLIov02,1597967847348 ,13
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598003054605 ,11
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598039301967 ,74
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598055357027 ,46
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598079581513 ,17
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598087623345 ,33
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598091555367 ,4
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598096192280 ,12
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598165804395 ,35
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598175333446 ,39
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598227819739 ,18
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598263885836 ,9
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598313916509 ,15
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598339707746 ,4
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598355801618 ,16
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598400931943 ,7
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598427989680 ,4
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598486770747 ,11
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598522537530 ,10
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598572563769 ,9
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598597899882 ,11
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598630057225 ,124
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598683342126 ,2
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598696263956 ,2
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598699840787 ,18
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598703964609 ,82
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598719007336 ,51
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599436818910 ,18
