,predict,target
1161,86.0,86.0
378,83.0,83.0
5738,77.0,78.0
5737,86.0,86.0
7469,52.0,52.0
4194,89.0,89.0
2152,99.0,98.0
683,76.0,76.0
6794,79.0,79.0
2817,100.0,100.0
7061,83.0,83.0
7830,67.0,66.0
2804,99.0,99.0
3735,98.0,98.0
4815,91.0,91.0
7421,60.0,60.0
5646,100.0,100.0
148,77.0,77.0
4944,83.0,83.0
5296,89.0,89.0
4400,98.0,98.0
4954,96.0,96.0
4576,75.0,75.0
2955,90.0,90.0
7524,65.0,65.0
5758,71.0,71.0
2759,93.0,93.0
2631,82.0,82.0
7120,78.0,78.0
3916,97.0,97.0
3263,91.0,91.0
4641,82.0,82.0
6404,93.0,93.0
5281,95.0,95.0
3481,92.0,92.0
1865,79.0,79.0
2617,95.0,95.0
2402,88.0,88.0
2396,83.0,83.0
4411,89.0,89.0
4688,96.0,96.0
2500,90.0,90.0
6685,85.0,85.0
6912,92.0,92.0
5117,91.0,91.0
2252,94.0,94.0
1454,93.0,92.0
4824,92.0,92.0
6771,94.0,94.0
3647,74.0,74.0
5424,92.0,92.0
4152,77.0,77.0
2738,97.0,97.0
4508,91.0,91.0
4214,87.0,87.0
4425,98.0,98.0
5857,89.0,89.0
6423,86.0,86.0
5110,94.0,94.0
2958,92.0,91.0
3652,77.0,77.0
7844,70.0,70.0
3953,67.0,67.0
3034,63.0,63.0
7633,82.0,82.0
2568,86.0,86.0
6481,85.0,85.0
4721,94.0,94.0
7811,88.0,88.0
3382,88.0,88.0
4834,91.0,91.0
2406,90.0,90.0
7053,74.0,74.0
6848,90.0,91.0
6656,69.0,69.0
5435,89.0,89.0
6577,91.0,90.0
2241,97.0,97.0
3379,86.0,87.0
6942,85.0,85.0
719,94.0,94.0
2111,99.0,99.0
5833,65.0,66.0
1369,80.0,80.0
7176,97.0,97.0
3657,76.0,76.0
7441,56.0,56.0
4904,91.0,91.0
1644,99.0,99.0
6441,97.0,97.0
4654,91.0,91.0
3924,78.0,78.0
2841,99.0,99.0
4548,83.0,83.0
6328,92.0,92.0
5943,51.0,51.0
7693,81.0,81.0
7042,74.0,74.0
1978,86.0,86.0
6440,97.0,97.0
6537,95.0,95.0
6639,76.0,76.0
2029,87.0,87.0
5376,84.0,84.0
635,88.0,88.0
2092,95.0,95.0
2272,93.0,93.0
5215,82.0,82.0
7881,88.0,87.0
4925,78.0,78.0
768,72.0,72.0
5511,89.0,89.0
4157,84.0,84.0
2242,90.0,90.0
1597,74.0,74.0
1746,51.0,50.0
5752,81.0,81.0
3712,24.0,23.0
3147,97.0,97.0
971,93.0,93.0
1373,90.0,90.0
4779,86.0,86.0
7504,86.0,86.0
5668,86.0,86.0
5176,90.0,90.0
4543,84.0,83.0
5416,90.0,90.0
2730,96.0,96.0
7187,96.0,96.0
6186,78.0,78.0
773,51.0,52.0
3760,99.0,99.0
2310,97.0,97.0
944,92.0,92.0
2090,98.0,98.0
5365,87.0,87.0
6455,94.0,94.0
247,84.0,84.0
4561,76.0,76.0
2994,94.0,94.0
2590,80.0,80.0
3723,54.0,54.0
502,54.0,54.0
7565,80.0,79.0
2525,93.0,93.0
6299,58.0,58.0
6469,95.0,95.0
1984,80.0,80.0
7393,51.0,50.0
3439,85.0,85.0
4665,83.0,83.0
2337,98.0,98.0
3743,99.0,99.0
4919,70.0,71.0
6372,93.0,93.0
864,73.0,73.0
2839,100.0,100.0
4311,75.0,75.0
170,89.0,89.0
5337,85.0,85.0
5599,100.0,100.0
3354,83.0,83.0
7606,85.0,85.0
865,83.0,83.0
464,92.0,92.0
4724,84.0,84.0
1140,96.0,96.0
7714,85.0,85.0
2026,87.0,87.0
3507,89.0,89.0
4309,89.0,89.0
2278,96.0,96.0
874,81.0,81.0
7241,71.0,71.0
3679,91.0,91.0
6548,74.0,74.0
7769,89.0,90.0
2929,91.0,91.0
7600,88.0,88.0
4783,90.0,90.0
7525,80.0,81.0
7002,98.0,98.0
1741,78.0,77.0
5358,88.0,88.0
4076,96.0,96.0
4773,89.0,89.0
31,89.0,89.0
4052,88.0,88.0
1742,86.0,86.0
1234,94.0,94.0
4446,80.0,80.0
318,55.0,55.0
7436,68.0,68.0
418,88.0,87.0
2630,92.0,92.0
7217,96.0,96.0
4269,84.0,84.0
3302,88.0,88.0
3225,88.0,87.0
4951,98.0,98.0
3428,86.0,86.0
5578,91.0,91.0
3558,100.0,100.0
5378,92.0,92.0
2923,89.0,89.0
800,70.0,70.0
6920,84.0,84.0
1564,90.0,90.0
2579,93.0,93.0
7041,73.0,73.0
882,79.0,79.0
2103,97.0,97.0
5320,87.0,87.0
7105,90.0,91.0
3635,77.0,77.0
5387,96.0,96.0
2060,90.0,90.0
2229,91.0,91.0
7697,85.0,85.0
1585,93.0,93.0
4715,96.0,96.0
3407,86.0,87.0
4059,80.0,80.0
1364,78.0,78.0
7173,98.0,98.0
3261,90.0,90.0
2459,87.0,87.0
7353,93.0,93.0
3925,86.0,86.0
3251,87.0,87.0
5671,79.0,79.0
4884,89.0,89.0
5917,67.0,67.0
287,56.0,57.0
1856,86.0,86.0
2648,95.0,95.0
14,90.0,90.0
5716,85.0,85.0
5255,89.0,89.0
1831,86.0,86.0
912,75.0,75.0
5622,100.0,100.0
7501,82.0,82.0
3363,84.0,84.0
6541,96.0,96.0
3239,86.0,87.0
3810,79.0,79.0
5279,89.0,89.0
559,85.0,85.0
138,77.0,77.0
1768,94.0,94.0
2645,94.0,94.0
7784,85.0,85.0
4492,75.0,75.0
4431,81.0,81.0
6773,67.0,66.0
4285,83.0,84.0
4617,90.0,90.0
6139,66.0,67.0
3620,78.0,78.0
1921,83.0,83.0
7124,98.0,98.0
3864,84.0,84.0
6903,94.0,94.0
2972,95.0,95.0
7536,64.0,64.0
2768,85.0,85.0
7855,95.0,95.0
4938,94.0,94.0
6436,96.0,96.0
4258,90.0,90.0
2491,88.0,88.0
393,86.0,86.0
3586,76.0,76.0
6033,92.0,92.0
2694,96.0,96.0
6305,97.0,97.0
4700,85.0,85.0
831,94.0,94.0
7553,79.0,78.0
420,47.0,48.0
6424,89.0,89.0
2549,73.0,73.0
1751,87.0,86.0
5669,81.0,81.0
194,84.0,84.0
290,89.0,89.0
6785,70.0,70.0
7806,83.0,83.0
3267,89.0,89.0
5673,79.0,79.0
4554,81.0,81.0
4472,59.0,59.0
963,90.0,90.0
4216,88.0,88.0
1888,85.0,85.0
2359,93.0,93.0
5227,81.0,81.0
5546,93.0,93.0
7017,94.0,94.0
6518,92.0,92.0
1573,91.0,91.0
6195,97.0,97.0
159,80.0,80.0
5198,73.0,73.0
1259,96.0,96.0
3497,93.0,93.0
1398,76.0,76.0
2708,99.0,100.0
2658,100.0,100.0
2602,93.0,93.0
1399,86.0,86.0
2702,95.0,95.0
227,80.0,80.0
6462,96.0,96.0
1357,86.0,87.0
1829,59.0,59.0
634,63.0,63.0
6570,55.0,55.0
4639,89.0,88.0
747,55.0,55.0
3176,99.0,98.0
191,85.0,85.0
4727,91.0,91.0
1513,86.0,86.0
530,91.0,91.0
7347,80.0,80.0
1867,82.0,82.0
2728,98.0,98.0
1411,57.0,57.0
6483,97.0,97.0
291,62.0,62.0
2081,94.0,94.0
1906,91.0,91.0
4595,81.0,81.0
3461,98.0,98.0
1334,85.0,85.0
4098,99.0,99.0
2318,94.0,94.0
1457,62.0,61.0
7077,92.0,92.0
5875,99.0,99.0
5087,96.0,96.0
2378,86.0,86.0
5193,91.0,91.0
48,54.0,54.0
2686,98.0,98.0
6937,72.0,72.0
6705,90.0,90.0
321,95.0,95.0
5515,92.0,93.0
4910,70.0,70.0
7220,86.0,86.0
1284,91.0,91.0
6888,83.0,83.0
4008,85.0,85.0
1917,91.0,91.0
5859,99.0,99.0
4625,97.0,97.0
840,86.0,86.0
4045,78.0,78.0
2423,79.0,79.0
667,96.0,96.0
7755,92.0,92.0
5916,55.0,56.0
1771,92.0,92.0
5898,98.0,98.0
3937,95.0,95.0
5951,96.0,96.0
2916,91.0,91.0
5845,97.0,97.0
4743,96.0,96.0
5105,91.0,91.0
133,85.0,85.0
1540,93.0,93.0
5152,99.0,99.0
6211,95.0,95.0
6406,93.0,93.0
1881,73.0,73.0
1788,86.0,86.0
3243,90.0,90.0
4713,80.0,79.0
124,91.0,91.0
7865,77.0,78.0
1278,89.0,89.0
3222,93.0,93.0
4127,98.0,98.0
3848,86.0,86.0
7892,73.0,73.0
4908,66.0,66.0
7419,77.0,77.0
1514,80.0,79.0
6349,86.0,86.0
7027,66.0,66.0
6769,91.0,91.0
6217,99.0,99.0
2412,83.0,83.0
976,90.0,90.0
6571,83.0,83.0
6535,96.0,96.0
4494,93.0,93.0
3957,66.0,66.0
4063,83.0,83.0
7862,90.0,90.0
7461,73.0,73.0
843,90.0,90.0
7417,68.0,68.0
1983,76.0,76.0
4970,84.0,84.0
5982,91.0,91.0
5284,85.0,85.0
1051,90.0,90.0
3235,84.0,84.0
4995,89.0,89.0
7860,79.0,79.0
1750,77.0,77.0
3628,66.0,66.0
475,71.0,71.0
1774,97.0,97.0
4963,93.0,93.0
3523,87.0,87.0
1237,93.0,93.0
4105,98.0,98.0
3431,89.0,89.0
7807,82.0,82.0
5432,95.0,95.0
6321,92.0,92.0
4250,93.0,93.0
7810,84.0,84.0
6086,66.0,66.0
7349,94.0,94.0
2588,93.0,93.0
5909,60.0,60.0
7395,66.0,66.0
6325,81.0,81.0
7360,80.0,80.0
2355,84.0,84.0
5841,72.0,72.0
143,70.0,70.0
2655,99.0,99.0
1974,73.0,73.0
4887,94.0,94.0
3822,73.0,73.0
4915,73.0,73.0
2194,80.0,80.0
7126,94.0,94.0
1722,91.0,91.0
6341,82.0,82.0
4456,95.0,95.0
4685,95.0,95.0
3410,79.0,79.0
875,81.0,81.0
3284,92.0,91.0
4426,95.0,95.0
3594,68.0,68.0
7595,91.0,90.0
1830,70.0,70.0
5867,95.0,95.0
7924,83.0,83.0
