,predict,target
7643,94.0,94.0
1766,94.0,94.0
6027,95.0,95.0
7038,73.0,73.0
2476,86.0,84.0
1380,84.0,84.0
4055,90.0,90.0
1869,80.0,79.0
6171,86.0,86.0
987,89.0,88.0
4367,73.0,76.0
7384,60.0,59.0
7372,87.0,88.0
1070,98.0,98.0
5834,63.0,63.0
4752,91.0,91.0
7068,83.0,84.0
1775,100.0,100.0
6298,83.0,83.0
3240,79.0,82.0
176,74.0,77.0
6859,85.0,85.0
4619,78.0,77.0
4986,91.0,91.0
90,43.0,43.0
1837,81.0,82.0
7861,83.0,85.0
296,66.0,65.0
347,86.0,84.0
2669,100.0,100.0
3341,85.0,84.0
2553,86.0,86.0
2076,92.0,93.0
409,86.0,85.0
7760,89.0,90.0
5328,82.0,82.0
5300,96.0,98.0
4781,92.0,91.0
1657,66.0,65.0
684,90.0,89.0
3705,70.0,72.0
2420,88.0,86.0
7845,74.0,70.0
5196,72.0,67.0
7631,93.0,93.0
29,89.0,89.0
7276,73.0,70.0
5333,85.0,86.0
2063,87.0,88.0
7662,95.0,94.0
3944,96.0,96.0
1168,93.0,93.0
7740,81.0,82.0
4230,94.0,94.0
4732,90.0,91.0
7822,75.0,72.0
3993,95.0,94.0
5797,74.0,78.0
6371,71.0,68.0
733,86.0,86.0
1156,90.0,88.0
5447,89.0,88.0
4838,83.0,84.0
5782,86.0,87.0
202,80.0,79.0
3326,96.0,95.0
4521,86.0,84.0
2179,76.0,78.0
7157,95.0,95.0
5097,93.0,93.0
3910,83.0,83.0
834,93.0,92.0
2913,97.0,97.0
4273,85.0,85.0
692,88.0,88.0
6674,93.0,92.0
3182,99.0,99.0
3724,8.0,16.0
210,75.0,73.0
3909,78.0,77.0
7406,83.0,73.0
2717,99.0,99.0
3368,88.0,87.0
5001,88.0,88.0
3601,84.0,83.0
2453,90.0,90.0
3338,86.0,87.0
6090,87.0,88.0
2635,98.0,98.0
3042,75.0,74.0
3631,85.0,86.0
3032,80.0,80.0
4029,82.0,81.0
119,91.0,91.0
3429,93.0,93.0
2232,74.0,74.0
5665,82.0,82.0
2190,78.0,77.0
7636,91.0,91.0
1246,74.0,74.0
6412,96.0,96.0
4807,94.0,93.0
2134,94.0,94.0
7757,95.0,95.0
3212,77.0,73.0
4809,87.0,88.0
4836,86.0,84.0
519,83.0,84.0
4389,82.0,83.0
1916,83.0,82.0
1555,95.0,95.0
7459,67.0,59.0
641,92.0,89.0
317,63.0,63.0
6335,96.0,96.0
7281,80.0,74.0
7843,68.0,67.0
5058,95.0,95.0
1946,77.0,78.0
4574,68.0,71.0
2294,97.0,97.0
2824,99.0,99.0
6902,82.0,82.0
4428,74.0,72.0
3553,96.0,96.0
6331,83.0,82.0
958,87.0,86.0
2550,90.0,91.0
2587,91.0,91.0
2182,75.0,75.0
5518,89.0,88.0
693,90.0,89.0
1563,94.0,94.0
1422,95.0,95.0
5167,99.0,99.0
1533,94.0,94.0
214,78.0,79.0
7746,83.0,84.0
4769,91.0,91.0
5331,94.0,93.0
6100,79.0,79.0
7664,95.0,95.0
3172,100.0,100.0
5414,86.0,86.0
949,70.0,74.0
895,77.0,76.0
1845,67.0,67.0
7791,91.0,91.0
4869,67.0,69.0
1139,98.0,98.0
3638,60.0,39.0
526,94.0,94.0
5421,85.0,82.0
6831,81.0,79.0
3296,98.0,97.0
5623,100.0,100.0
3597,73.0,71.0
5233,84.0,82.0
5267,74.0,75.0
1855,87.0,87.0
3160,100.0,100.0
6605,96.0,96.0
613,81.0,66.0
313,62.0,59.0
6467,78.0,73.0
467,62.0,61.0
3171,100.0,100.0
4397,98.0,98.0
4162,91.0,91.0
5700,75.0,74.0
7139,90.0,90.0
7745,85.0,83.0
7750,89.0,89.0
6766,83.0,82.0
5155,100.0,100.0
1455,90.0,90.0
5961,98.0,98.0
4175,86.0,85.0
1570,93.0,92.0
794,59.0,63.0
3482,89.0,89.0
294,66.0,66.0
6334,84.0,83.0
7532,88.0,86.0
2101,97.0,97.0
6378,97.0,93.0
994,94.0,93.0
2250,88.0,89.0
4225,83.0,81.0
4237,83.0,81.0
456,96.0,96.0
1448,84.0,84.0
3977,93.0,92.0
4612,94.0,95.0
5574,95.0,95.0
7172,97.0,97.0
527,85.0,86.0
3055,51.0,46.0
2551,86.0,85.0
6403,95.0,96.0
7701,93.0,93.0
4701,79.0,79.0
6908,91.0,91.0
2734,94.0,94.0
6251,93.0,94.0
5648,100.0,100.0
4303,85.0,84.0
51,65.0,63.0
4898,90.0,90.0
2664,99.0,99.0
5075,96.0,95.0
7274,83.0,74.0
3490,85.0,86.0
6885,81.0,82.0
4183,94.0,95.0
4831,87.0,86.0
3990,95.0,95.0
4848,96.0,96.0
2584,85.0,87.0
3060,80.0,80.0
5504,92.0,92.0
479,90.0,89.0
3618,54.0,47.0
2070,89.0,89.0
7756,95.0,95.0
3378,89.0,89.0
771,53.0,54.0
2137,95.0,95.0
6662,89.0,89.0
6508,99.0,99.0
65,83.0,83.0
5399,88.0,89.0
2823,98.0,98.0
6271,89.0,91.0
5051,99.0,99.0
7544,84.0,85.0
5341,90.0,89.0
4964,90.0,90.0
5706,73.0,69.0
6196,87.0,85.0
4399,96.0,97.0
2812,99.0,99.0
1161,85.0,86.0
378,82.0,83.0
5738,79.0,78.0
5737,86.0,86.0
7469,46.0,52.0
4194,89.0,89.0
2152,98.0,98.0
683,77.0,76.0
6794,79.0,79.0
2817,100.0,100.0
7061,81.0,83.0
7830,67.0,66.0
2804,99.0,99.0
3735,98.0,98.0
4815,91.0,91.0
7421,59.0,60.0
5646,100.0,100.0
148,78.0,77.0
4944,82.0,83.0
5296,90.0,89.0
4400,97.0,98.0
4954,96.0,96.0
4576,74.0,75.0
2955,91.0,90.0
7524,77.0,65.0
5758,68.0,71.0
2759,93.0,93.0
2631,83.0,82.0
7120,76.0,78.0
3916,97.0,97.0
3263,91.0,91.0
4641,80.0,82.0
6404,93.0,93.0
5281,96.0,95.0
3481,93.0,92.0
1865,81.0,79.0
2617,95.0,95.0
2402,89.0,88.0
2396,85.0,83.0
4411,88.0,89.0
4688,96.0,96.0
2500,89.0,90.0
6685,84.0,85.0
6912,92.0,92.0
5117,91.0,91.0
2252,94.0,94.0
1454,92.0,92.0
4824,93.0,92.0
6771,94.0,94.0
3647,75.0,74.0
5424,93.0,92.0
4152,79.0,77.0
2738,97.0,97.0
4508,90.0,91.0
4214,88.0,87.0
4425,98.0,98.0
5857,89.0,89.0
6423,87.0,86.0
5110,95.0,94.0
2958,92.0,91.0
3652,75.0,77.0
7844,67.0,70.0
3953,70.0,67.0
3034,71.0,63.0
7633,83.0,82.0
2568,85.0,86.0
6481,85.0,85.0
4721,94.0,94.0
7811,87.0,88.0
3382,87.0,88.0
4834,92.0,91.0
2406,90.0,90.0
7053,78.0,74.0
6848,90.0,91.0
6656,63.0,69.0
5435,88.0,89.0
6577,92.0,90.0
2241,97.0,97.0
3379,87.0,87.0
6942,85.0,85.0
719,95.0,94.0
2111,98.0,99.0
5833,64.0,66.0
1369,80.0,80.0
7176,97.0,97.0
3657,75.0,76.0
7441,58.0,56.0
4904,90.0,91.0
1644,99.0,99.0
6441,97.0,97.0
4654,92.0,91.0
3924,82.0,78.0
2841,99.0,99.0
4548,85.0,83.0
6328,93.0,92.0
5943,51.0,51.0
7693,77.0,81.0
7042,74.0,74.0
1978,86.0,86.0
6440,97.0,97.0
6537,95.0,95.0
6639,78.0,76.0
2029,86.0,87.0
5376,85.0,84.0
635,88.0,88.0
2092,95.0,95.0
2272,93.0,93.0
5215,81.0,82.0
7881,88.0,87.0
4925,80.0,78.0
768,73.0,72.0
5511,89.0,89.0
4157,85.0,84.0
2242,89.0,90.0
1597,75.0,74.0
1746,51.0,50.0
5752,82.0,81.0
3712,26.0,23.0
3147,98.0,97.0
971,93.0,93.0
1373,91.0,90.0
4779,87.0,86.0
7504,87.0,86.0
5668,86.0,86.0
5176,89.0,90.0
4543,83.0,83.0
5416,90.0,90.0
2730,95.0,96.0
7187,96.0,96.0
6186,78.0,78.0
773,52.0,52.0
3760,99.0,99.0
2310,98.0,97.0
944,91.0,92.0
2090,99.0,98.0
5365,88.0,87.0
6455,93.0,94.0
247,86.0,84.0
4561,75.0,76.0
2994,94.0,94.0
2590,82.0,80.0
3723,56.0,54.0
502,53.0,54.0
7565,82.0,79.0
2525,93.0,93.0
6299,58.0,58.0
6469,95.0,95.0
1984,78.0,80.0
7393,52.0,50.0
3439,86.0,85.0
4665,83.0,83.0
2337,98.0,98.0
3743,99.0,99.0
4919,72.0,71.0
6372,94.0,93.0
864,76.0,73.0
2839,100.0,100.0
4311,78.0,75.0
170,90.0,89.0
5337,83.0,85.0
5599,100.0,100.0
3354,82.0,83.0
7606,84.0,85.0
865,82.0,83.0
464,90.0,92.0
4724,86.0,84.0
1140,97.0,96.0
7714,86.0,85.0
2026,88.0,87.0
3507,90.0,89.0
4309,88.0,89.0
2278,96.0,96.0
874,83.0,81.0
7241,75.0,71.0
3679,90.0,91.0
6548,78.0,74.0
7769,90.0,90.0
2929,92.0,91.0
7600,88.0,88.0
4783,90.0,90.0
7525,80.0,81.0
7002,98.0,98.0
1741,76.0,77.0
5358,88.0,88.0
4076,96.0,96.0
4773,89.0,89.0
31,89.0,89.0
4052,89.0,88.0
1742,85.0,86.0
1234,94.0,94.0
4446,80.0,80.0
318,55.0,55.0
7436,68.0,68.0
418,86.0,87.0
2630,93.0,92.0
7217,96.0,96.0
