overspeed,accel,decel,stop,start,cluster,score
270,823,308,0,205,94,62
23,922,230,76,461,73,72
10,918,459,91,367,96,55
164,1245,426,142,391,22,48
390,615,197,49,246,84,75
550,483,230,46,115,99,78
115,367,147,147,367,62,77
151,603,301,0,215,5,73
177,781,434,130,303,96,55
122,356,267,0,178,25,87
19,1120,311,124,622,74,56
94,719,169,0,296,73,72
71,538,269,38,230,5,73
12,938,125,125,437,73,72
10,1351,193,96,579,48,45
104,827,243,48,437,73,72
72,535,89,29,208,16,82
128,863,690,287,632,86,40
192,363,145,0,218,98,79
56,465,93,0,279,16,82
51,290,145,29,116,25,87
370,478,170,34,102,99,78
419,363,60,0,242,98,79
137,492,454,37,302,5,73
50,586,83,83,503,34,68
47,1093,430,99,464,22,48
264,367,122,40,122,67,83
159,517,474,86,345,83,66
37,685,187,62,249,16,82
158,416,243,0,69,25,87
287,470,156,52,26,67,83
413,755,133,133,266,21,65
215,524,218,0,174,84,75
113,629,125,83,293,16,82
143,597,56,85,142,59,92
3,376,268,53,0,25,87
84,406,58,58,174,43,96
127,383,76,115,230,45,94
89,191,95,95,287,45,94
117,973,99,0,249,10,70
162,589,453,136,272,5,73
87,557,348,69,278,5,73
27,941,282,0,188,10,70
101,605,141,20,161,20,86
224,753,465,66,265,94,62
22,942,171,85,342,73,72
2,1809,180,0,271,63,53
95,578,150,25,75,20,86
360,388,181,25,181,98,79
259,679,206,0,118,84,75
166,756,604,75,302,80,49
77,515,193,64,128,20,86
15,1593,919,183,490,89,22
102,1129,264,120,528,74,56
382,1231,307,61,369,1,52
673,282,235,94,188,42,67
39,809,333,142,190,36,69
617,274,34,34,205,17,80
187,281,127,0,51,15,93
115,889,205,68,342,73,72
409,164,41,0,27,57,90
64,868,186,31,155,10,70
121,1450,763,114,648,85,33
31,492,109,0,164,59,92
6,845,93,0,469,73,72
310,517,554,36,221,61,60
80,79,79,19,19,30,100
660,519,138,0,69,42,67
555,376,188,53,242,28,71
152,100,0,0,0,19,98
299,206,247,82,535,62,77
299,538,377,53,1940,93,24
62,863,383,95,287,96,55
86,786,196,0,196,58,85
647,83,69,13,55,75,91
1463,144,72,12,60,77,64
90,52,26,0,52,30,100
118,412,648,117,353,83,66
125,165,47,0,23,0,99
188,260,108,21,86,15,93
280,1092,382,54,163,95,50
56,217,138,39,197,45,94
432,438,115,23,23,99,78
368,60,42,3,24,90,95
4051,167,38,7,11,8,11
101,528,387,70,211,5,73
246,1627,336,0,392,3,47
934,27,15,0,0,24,81
633,129,24,4,22,75,91
189,450,135,0,180,7,88
192,691,345,0,197,94,62
67,46,92,0,3142,55,17
271,1083,349,34,174,95,50
171,141,236,0,0,35,97
339,906,741,41,370,80,49
323,727,788,60,242,80,49
113,248,67,33,158,43,96
146,148,74,10,74,19,98
371,486,243,48,0,67,83
274,641,1053,137,503,80,49
87,501,136,0,136,59,92
