overspeed,accel,decel,stop,start,dsi,score
2.0,0.0,0.0,0.0,0.0,2.0,100.0
15.0,25.0,17.0,0.0,0.0,57.0,99.0
25.0,0.0,64.0,0.0,0.0,89.0,99.0
0.0,0.0,89.0,89.0,0.0,178.0,98.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
13.0,40.0,0.0,0.0,40.0,93.0,99.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
3.0,28.0,14.0,0.0,0.0,45.0,99.0
13.0,30.0,0.0,0.0,0.0,43.0,99.0
0.0,0.0,0.0,0.0,0.0,0.0,100.0
277.0,120.0,96.0,0.0,24.0,517.0,94.0
285.0,110.0,44.0,0.0,44.0,483.0,94.0
485.0,283.0,109.0,22.0,174.0,1073.0,87.0
541.0,233.0,70.0,0.0,23.0,867.0,89.0
433.0,431.0,478.0,48.0,191.0,1581.0,81.0
611.0,382.0,525.0,0.0,334.0,1852.0,77.0
191.0,819.0,223.0,0.0,596.0,1829.0,78.0
285.0,188.0,47.0,0.0,94.0,614.0,93.0
113.0,338.0,97.0,0.0,290.0,838.0,90.0
105.0,636.0,91.0,0.0,363.0,1195.0,85.0
163.0,247.0,396.0,99.0,247.0,1152.0,86.0
361.0,113.0,38.0,0.0,38.0,550.0,93.0
148.0,113.0,23.0,23.0,136.0,443.0,95.0
677.0,229.0,114.0,0.0,46.0,1066.0,87.0
293.0,108.0,195.0,0.0,152.0,748.0,91.0
813.0,184.0,80.0,0.0,64.0,1141.0,86.0
56.0,193.0,96.0,0.0,48.0,393.0,95.0
791.0,182.0,68.0,0.0,159.0,1200.0,85.0
365.0,140.0,163.0,0.0,117.0,785.0,90.0
167.0,402.0,115.0,77.0,134.0,895.0,89.0
333.0,430.0,233.0,36.0,161.0,1193.0,86.0
437.0,218.0,145.0,24.0,121.0,945.0,89.0
4.0,382.0,261.0,20.0,161.0,828.0,90.0
450.0,341.0,159.0,91.0,159.0,1200.0,85.0
122.0,497.0,99.0,0.0,199.0,917.0,89.0
49.0,289.0,105.0,26.0,0.0,469.0,94.0
5.0,1321.0,0.0,0.0,311.0,1637.0,80.0
41.0,793.0,176.0,0.0,176.0,1186.0,86.0
1.0,467.0,389.0,0.0,545.0,1402.0,83.0
407.0,191.0,191.0,48.0,95.0,932.0,89.0
131.0,525.0,339.0,31.0,185.0,1211.0,85.0
254.0,465.0,289.0,25.0,264.0,1297.0,84.0
12.0,1184.0,338.0,85.0,508.0,2127.0,74.0
205.0,455.0,273.0,55.0,182.0,1170.0,86.0
249.0,401.0,164.0,36.0,219.0,1069.0,87.0
507.0,326.0,70.0,23.0,116.0,1042.0,87.0
351.0,504.0,351.0,22.0,307.0,1535.0,81.0
5.0,1298.0,346.0,0.0,606.0,2255.0,73.0
496.0,258.0,117.0,0.0,47.0,918.0,89.0
624.0,209.0,140.0,23.0,186.0,1182.0,86.0
123.0,121.0,40.0,0.0,81.0,365.0,96.0
67.0,80.0,0.0,0.0,80.0,227.0,97.0
2.0,161.0,0.0,0.0,161.0,324.0,96.0
1.0,61.0,0.0,0.0,20.0,82.0,99.0
1.0,0.0,285.0,0.0,356.0,642.0,92.0
1.0,79.0,158.0,79.0,0.0,317.0,96.0
185.0,127.0,127.0,42.0,21.0,502.0,94.0
232.0,65.0,0.0,0.0,0.0,297.0,96.0
0.0,92.0,0.0,0.0,92.0,184.0,98.0
0.0,252.0,0.0,0.0,84.0,336.0,96.0
55.0,264.0,88.0,0.0,88.0,495.0,94.0
67.0,194.0,0.0,0.0,0.0,261.0,97.0
0.0,609.0,305.0,76.0,152.0,1142.0,86.0
0.0,89.0,89.0,45.0,89.0,312.0,96.0
239.0,44.0,54.0,11.0,0.0,348.0,96.0
235.0,25.0,38.0,13.0,0.0,311.0,96.0
25.0,126.0,95.0,0.0,0.0,246.0,97.0
415.0,128.0,128.0,0.0,64.0,735.0,91.0
604.0,297.0,89.0,0.0,208.0,1198.0,85.0
607.0,96.0,32.0,0.0,32.0,767.0,91.0
883.0,64.0,96.0,0.0,32.0,1075.0,87.0
668.0,224.0,192.0,32.0,64.0,1180.0,86.0
753.0,126.0,0.0,0.0,31.0,910.0,89.0
403.0,161.0,0.0,0.0,64.0,628.0,92.0
837.0,96.0,0.0,0.0,64.0,997.0,88.0
636.0,128.0,32.0,0.0,0.0,796.0,90.0
686.0,126.0,31.0,0.0,31.0,874.0,89.0
437.0,96.0,0.0,0.0,32.0,565.0,93.0
420.0,32.0,63.0,0.0,95.0,610.0,93.0
307.0,361.0,77.0,26.0,181.0,952.0,88.0
745.0,177.0,0.0,0.0,101.0,1023.0,88.0
447.0,224.0,128.0,0.0,64.0,863.0,90.0
432.0,188.0,31.0,0.0,126.0,777.0,91.0
509.0,160.0,0.0,32.0,96.0,797.0,90.0
486.0,31.0,0.0,0.0,62.0,579.0,93.0
543.0,289.0,0.0,0.0,32.0,864.0,90.0
359.0,158.0,0.0,0.0,158.0,675.0,92.0
7.0,812.0,258.0,37.0,369.0,1483.0,82.0
42.0,461.0,54.0,0.0,298.0,855.0,90.0
358.0,96.0,0.0,0.0,64.0,518.0,94.0
756.0,94.0,63.0,0.0,31.0,944.0,89.0
830.0,202.0,0.0,0.0,0.0,1032.0,87.0
2.0,539.0,0.0,0.0,360.0,901.0,89.0
157.0,243.0,122.0,24.0,97.0,643.0,92.0
125.0,379.0,25.0,0.0,76.0,605.0,93.0
256.0,225.0,128.0,0.0,64.0,673.0,92.0
701.0,125.0,31.0,0.0,94.0,951.0,88.0
543.0,225.0,32.0,0.0,32.0,832.0,90.0
769.0,220.0,63.0,0.0,31.0,1083.0,87.0
600.0,160.0,0.0,0.0,64.0,824.0,90.0
766.0,256.0,64.0,32.0,96.0,1214.0,85.0
383.0,451.0,211.0,30.0,271.0,1346.0,84.0
75.0,884.0,110.0,0.0,442.0,1511.0,82.0
279.0,262.0,48.0,0.0,191.0,780.0,91.0
557.0,193.0,0.0,0.0,0.0,750.0,91.0
322.0,253.0,95.0,0.0,126.0,796.0,90.0
636.0,257.0,32.0,32.0,64.0,1021.0,88.0
644.0,95.0,126.0,0.0,126.0,991.0,88.0
662.0,32.0,32.0,0.0,96.0,822.0,90.0
567.0,100.0,0.0,0.0,167.0,834.0,90.0
580.0,146.0,37.0,0.0,37.0,800.0,90.0
453.0,157.0,0.0,0.0,94.0,704.0,91.0
664.0,192.0,96.0,0.0,0.0,952.0,88.0
747.0,94.0,31.0,0.0,94.0,966.0,88.0
431.0,160.0,32.0,0.0,32.0,655.0,92.0
620.0,94.0,94.0,0.0,94.0,902.0,89.0
535.0,129.0,65.0,0.0,97.0,826.0,90.0
409.0,193.0,32.0,0.0,64.0,698.0,92.0
672.0,284.0,95.0,0.0,63.0,1114.0,86.0
569.0,225.0,32.0,0.0,96.0,922.0,89.0
744.0,188.0,94.0,0.0,63.0,1089.0,87.0
491.0,289.0,32.0,0.0,32.0,844.0,90.0
744.0,173.0,115.0,0.0,115.0,1147.0,86.0
730.0,317.0,171.0,0.0,122.0,1340.0,84.0
556.0,349.0,116.0,0.0,70.0,1091.0,87.0
250.0,90.0,0.0,0.0,60.0,400.0,95.0
440.0,400.0,40.0,0.0,0.0,880.0,89.0
278.0,767.0,118.0,0.0,590.0,1753.0,79.0
250.0,254.0,0.0,0.0,85.0,589.0,93.0
2.0,163.0,82.0,0.0,82.0,329.0,96.0
308.0,188.0,63.0,0.0,94.0,653.0,92.0
642.0,224.0,128.0,0.0,32.0,1026.0,88.0
39.0,283.0,170.0,57.0,340.0,889.0,89.0
659.0,192.0,0.0,0.0,64.0,915.0,89.0
569.0,156.0,0.0,0.0,0.0,725.0,91.0
494.0,160.0,0.0,0.0,32.0,686.0,92.0
623.0,157.0,31.0,0.0,0.0,811.0,90.0
715.0,222.0,111.0,11.0,55.0,1114.0,86.0
535.0,156.0,31.0,0.0,16.0,738.0,91.0
129.0,149.0,43.0,0.0,43.0,364.0,96.0
871.0,82.0,62.0,0.0,21.0,1036.0,87.0
575.0,262.0,112.0,0.0,0.0,949.0,88.0
336.0,210.0,105.0,0.0,35.0,686.0,92.0
245.0,77.0,38.0,0.0,0.0,360.0,96.0
64.0,168.0,42.0,0.0,84.0,358.0,96.0
239.0,190.0,38.0,0.0,0.0,467.0,94.0
237.0,352.0,248.0,62.0,228.0,1127.0,86.0
139.0,217.0,72.0,72.0,0.0,500.0,94.0
60.0,122.0,41.0,122.0,163.0,508.0,94.0
480.0,43.0,85.0,0.0,85.0,693.0,92.0
76.0,314.0,0.0,35.0,70.0,495.0,94.0
572.0,188.0,113.0,0.0,75.0,948.0,88.0
177.0,491.0,0.0,55.0,109.0,832.0,90.0
208.0,87.0,87.0,0.0,116.0,498.0,94.0
561.0,150.0,226.0,38.0,0.0,975.0,88.0
0.0,2368.0,79.0,0.0,474.0,2921.0,65.0
10.0,691.0,599.0,92.0,1060.0,2452.0,70.0
8.0,1948.0,683.0,139.0,848.0,3626.0,56.0
0.0,1536.0,165.0,55.0,549.0,2305.0,72.0
11.0,1866.0,262.0,29.0,816.0,2984.0,64.0
0.0,1669.0,791.0,88.0,1669.0,4217.0,49.0
0.0,1024.0,60.0,0.0,662.0,1746.0,79.0
33.0,1056.0,490.0,75.0,1094.0,2748.0,67.0
70.0,1219.0,715.0,252.0,1556.0,3812.0,54.0
59.0,950.0,691.0,0.0,605.0,2305.0,72.0
9.0,695.0,510.0,46.0,741.0,2001.0,76.0
