user,trip,overspeed,accel,decel,stop,start,distance
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.0288335,43,14,0,11,12019.412
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.499499205,34,11,0,15,12429.858
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.60211148,37,19,0,8,11883.448
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.008052,38,11,0,9,11948.898
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,2.1839782,12,4,1,1,20024.86
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,125.4267473,57,32,2,7,105232.65
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,16.2727934,35,7,0,3,33880.52
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,29.46497484,24,11,0,0,33637.637
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.68904048,41,18,1,8,11989.681
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.06155068,22,9,1,11,12056.503
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,2.47566744,22,14,1,5,19674.555
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,2.41638003,28,5,1,3,16542.11
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,26.57152212,13,9,1,4,169881.86
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.6593906,21,17,2,7,15089.153
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,6.81731442,19,10,1,5,14802.058
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.66395967,26,12,2,12,12024.272
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,1.2179428,38,19,4,13,12032.916
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.78466749,32,16,0,8,12083.472
0WVbkZqJA0gKSdTFxvTHBoLIov02,1.60E+12,0.78310916,37,8,2,15,12175.39
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,0.29788914,7,0,0,4,12955.404
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,0.78341578,2,0,0,4,11783.423
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,0.809584404,4,4,1,3,11269.174
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,16.19107596,7,3,0,2,38164.438
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,24.0016794,0,0,0,14,152034.72
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,0.02919434,3,0,0,4,13946.367
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,67.54078125,5,7,0,1,97154.766
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,77.87980158,7,4,0,3,99123.7
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,0.23241612,7,0,0,4,14506.345
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,0.09829101,7,2,0,2,12093.31
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,24.57355953,2,3,0,2,166845.88
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,59.48289984,3,3,0,7,166726.56
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,10.37598752,2,1,0,3,39962.59
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,16.77878982,10,2,0,4,42741.39
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,9.82775805,5,7,0,1,30979.977
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,1.1309879,3,0,0,1,17762.814
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,76.07467949,5,2,0,7,95892.56
1gQ03xU6GafMxm4nEgs42w1c00r2,1.60E+12,89.3565288,5,1,0,4,102883.19
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1.60E+12,7.3874218,35,16,0,6,31274.557
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1.60E+12,17.33905268,78,17,1,20,55656.812
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1.60E+12,6.3702584,30,8,1,9,31260.361
3e2AcrqFVHVKlMho7MD4ND9eaPv2,1.60E+12,2.49282792,25,6,0,4,31597.285
