user,trip,accel,decel,stop,start,distance
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598165804395,21,13,0,7,18775.254
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598175333446,21,19,1,5,19037.451
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598227819739,29,12,2,13,12012.009
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598263885836,29,13,1,12,12095.818
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598313916509,32,7,1,8,12038.298
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598355801618,32,17,0,9,15871.498
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598427989680,37,9,1,11,12246.151
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598486770747,30,12,0,11,11996.811
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598522537530,26,17,1,12,12051.637
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598572563769,37,11,2,10,11936.233
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598597899882,45,18,3,17,13163.161
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598630057225,58,23,1,7,208525.02
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598699840787,16,6,0,1,19927.732
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598703964609,20,7,2,3,106919.92
0WVbkZqJA0gKSdTFxvTHBoLIov02,1598719007336,15,13,1,1,120307.64
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599436818910,33,10,0,13,12766.077
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599471341621,27,7,1,10,17224.547
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599525595298,32,5,0,8,11402.203
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599560772361,28,8,0,9,12043.768
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599610278848,39,8,1,8,11964.144
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599647072756,23,12,1,9,11977.357
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599696028730,35,9,1,12,13363.184
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599782663419,34,14,1,5,11989.315
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599819706117,37,29,4,17,20898.613
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599851947612,48,28,0,5,204359.8
0WVbkZqJA0gKSdTFxvTHBoLIov02,1599917917123,85,29,2,9,155528.72
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600042802888,29,19,4,14,11934.684
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600094147475,32,13,1,11,15528.463
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600130044098,29,7,0,11,12013.574
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600214684018,30,10,1,10,11974.575
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600249415022,28,7,1,17,12189.442
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600301624107,45,11,0,9,12022.048
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600326527096,40,15,0,13,14264.916
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600387752153,26,7,2,7,13248.176
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600427523390,52,21,0,12,30772.068
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600647085274,35,14,4,13,12077.599
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600684652473,42,19,1,11,12461.106
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600733099334,27,9,2,17,11888.864
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600769353827,34,7,1,10,12331.97
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600819584837,43,14,0,11,12019.412
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600849827557,34,11,0,15,12429.858
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600905749489,37,19,0,8,11883.448
0WVbkZqJA0gKSdTFxvTHBoLIov02,1600941376625,38,11,0,9,11948.898
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601068877677,12,4,1,1,20024.86
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601102893640,57,32,2,7,105232.65
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601193629432,35,7,0,3,33880.52
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601217506410,24,11,0,0,33637.637
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601251760769,41,18,1,8,11989.681
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601293198517,22,9,1,11,12056.503
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601325631700,22,14,1,5,19674.555
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601349429178,28,5,1,3,16542.11
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601400170632,13,9,1,4,169881.86
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601776398656,21,17,2,7,15089.153
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601800662813,19,10,1,5,14802.058
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601856409928,26,12,2,12,12024.272
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601942752257,38,19,4,13,12032.916
0WVbkZqJA0gKSdTFxvTHBoLIov02,1601984276728,32,16,0,8,12083.472
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602029349938,37,8,2,15,12175.39
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602081904203,39,17,2,9,12166.249
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602116032773,49,18,1,7,13336.945
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602206754550,132,55,0,11,155235.53
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602363211861,29,10,2,2,101390.02
0WVbkZqJA0gKSdTFxvTHBoLIov02,1602388139670,84,30,4,9,234380.05
1gQ03xU6GafMxm4nEgs42w1c00r2,1598264602312,7,0,0,4,12955.404
1gQ03xU6GafMxm4nEgs42w1c00r2,1598274633502,2,0,0,4,11783.423
1gQ03xU6GafMxm4nEgs42w1c00r2,1598662585366,4,4,1,3,11269.174
1gQ03xU6GafMxm4nEgs42w1c00r2,1599281755679,7,3,0,2,38164.438
1gQ03xU6GafMxm4nEgs42w1c00r2,1599302837272,0,0,0,14,152034.72
1gQ03xU6GafMxm4nEgs42w1c00r2,1599892806262,3,0,0,4,13946.367
